,1500305,1500503,1502509,1503101,1600055,1600105,1600154,1600204,1600212,1600238,1600253,1600279,1600303,1600402,1600501,1600535,1600550,1600600,1600709,1600808
1500305,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
1500503,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1502509,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1503101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1600055,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
1600105,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
1600154,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
1600204,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1600212,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1600238,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0
1600253,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1600279,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1600303,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0
1600402,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
1600501,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1600535,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
1600550,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1600600,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
1600709,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1600808,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
