,1400027,1400050,1400100,1400159,1400175,1400209,1400233,1400282,1400308,1400407,1400456,1400472,1400506,1400605,1400704
1400027,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
1400050,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1400100,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0
1400159,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
1400175,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
1400209,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0
1400233,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1400282,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
1400308,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1400407,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
1400456,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1400472,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
1400506,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
1400605,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
1400704,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
